"Configuration", "Konfiguration"
"Basic Configuration", "Grundkonfiguration"
"Click <a href="http://www.shopgate.com/" target="_blank">here</a> to sign up for a Shopgate account", "Klicken Sie <a href="http://www.shopgate.com/" target="_blank">hier</a> um sich bei Shopgate zu registrieren"
"Enabled", "Aktiviert"
"Disabled", "Deaktiviert"
"Customer number", "Kundennummer"
"Shop number", "Shopnummer"
"API Key", "API-Key"
"Mobile Settings","Einstellungen Mobile Webseite"
"Redirect Type","Art der Weiterleitung"
"HTTP redirect is the recommended method for better performance and search engine rankings. However, using external cache engines (e.g. <strong>Varnish-Cache</strong>) might cause problems such as a "redirect loop". In that case the JavaScript redirect should solve the problem.","Die HTTP-Weiterleitung ist im Hinblick auf Performance und Suchmaschinen-Rankings die empfohlene Methode. Sollten Sie allerdings externe Cache-Engines (z.B. <strong>Varnish-Cache</strong>) verwenden, kann es zu Problemen kommen. Verwenden Sie in diesem Fall die JavaScript-Weiterleitung."
"You can find the alias at the 'Integration' section of your merchant area.", "Tragen Sie hier den Alias Ihres Shops ein. Sie finden diese im Tab 'Integration' Ihres H채ndlerbereiches."
"Custom URL (incl. http(s)://)","Eigene URL zur mobilen Webseite (mit http(s)://)"
"Enter a custom URL (defined by CNAME) for your mobile website. You can find the URL at the 'Integration' section of your shop after you activated this option in the 'Settings' => 'Mobile website / webapp' section.","Tragen Sie hier eine eigene (per CNAME definierte) URL zur mobilen Webseite Ihres Shops ein. Sie finden die URL im Tab ""Integration"" Ihres Shops, nachdem Sie diese Option unter ""Einstellungen"" => ""Mobile Webseite / Webapp"" aktiviert haben."
"Advanced","Erweitert"
"Same page was assigned a URL Key multiple times! Duplicate entries were removed.","Der selben Seite wurden bereits mehrere URL keys zugewiesen! Doppelte Eintr채ge wurden entfernt."
"Customer with external id "%1" or email "%2" does not exist","Der Kunde mit der externen Id "%1" oder der E-Mail "%2" existiert nicht"
"HTTP (recommended)","HTTP (Empfohlen)"
"Allows to map your prefixes to Shopgate's prefixes.","Erlaubt es Ihnen Ihre Prefixe mit denen von Shopgate zu mappen."
"Shopgate Prefix","Shopgate Prefix"
"Magento Prefix","Magento Prefix"
"Duplicate entries were removed.","Doppelte Eintr채ge wurden entfernt"
"Mr.","Herr"
"Ms.","Frau"
"Note: only one entry per prefix allowed.<br/>Prefixes must be configured first at:<br/>%s","Hinweis: nur ein Eintrag pro Prefix erlaubt.<br/>Prefixe m체ssen zuerst hier Konfiguriert werden:<br/>%1"
